frame,label,value
0,leftPeak3,0









10,leftPeak3,0.12131047143719167






17,leftPeak3,0.09290198978786103







25,leftPeak3,0.13665529536165733












38,leftPeak3,0.12395481762750815














53,leftPeak3,0.14651046109532184











65,leftPeak3,0.09999152502259703












78,leftPeak3,0.25007895867189966













92,leftPeak3,0.19325434262251817














107,leftPeak3,0.15762024784871623









117,leftPeak3,0.1689143967935386












130,leftPeak3,0.07168606366659051













144,leftPeak3,0.1777069819138961














159,leftPeak3,0.12131445878429264











171,leftPeak3,0.04767140572664172












184,leftPeak3,0.5888464772499168













198,leftPeak3,0.22082948597505428













212,leftPeak3,0.25230129095260906














227,leftPeak3,0.24502988185321506







235,leftPeak3,0.04720481120537406




240,leftPeak3,0.38337631687181967







248,leftPeak3,0.046740693693755844





254,leftPeak3,0.2582055494731414






261,leftPeak3,0.06339238161236885





































299,leftPeak3,0.8552835435421244













0,rightPeak3,0
















17,rightPeak3,0.1461437191895381














32,rightPeak3,0.14690648387215777













46,rightPeak3,0.17282384592318334












59,rightPeak3,0.18760054135893817











71,rightPeak3,0.24048990196481207













85,rightPeak3,0.23480026333699056














100,rightPeak3,0.2383765411486286












113,rightPeak3,0.15904124558002278










124,rightPeak3,0.2739149389149374












137,rightPeak3,0.24536244257036324













151,rightPeak3,0.2518409492868509












164,rightPeak3,0.29418384792606006












177,rightPeak3,0.3949451506197274













191,rightPeak3,0.37964947447211106













205,rightPeak3,0.4758901251999781














220,rightPeak3,0.3525793094868828













234,rightPeak3,0.34510303170574375













248,rightPeak3,0.3943446106602876











260,rightPeak3,0.07146573105235926





266,rightPeak3,0.06406076736955646

































300,rightPeak3,0.7006434933750525












0,crosses3,0
1,crosses3,0
2,crosses3,0
3,crosses3,0
4,crosses3,0
5,crosses3,0.05
6,crosses3,0
7,crosses3,0
8,crosses3,0
9,crosses3,0
10,crosses3,0
11,crosses3,0
12,crosses3,0.05
13,crosses3,0
14,crosses3,0
15,crosses3,0
16,crosses3,0
17,crosses3,0
18,crosses3,0
19,crosses3,0
20,crosses3,0.05
21,crosses3,0
22,crosses3,0
23,crosses3,0
24,crosses3,0
25,crosses3,0
26,crosses3,0
27,crosses3,0.05
28,crosses3,0
29,crosses3,0
30,crosses3,0
31,crosses3,0
32,crosses3,0
33,crosses3,0.05
34,crosses3,0
35,crosses3,0
36,crosses3,0
37,crosses3,0
38,crosses3,0
39,crosses3,0
40,crosses3,0.05
41,crosses3,0
42,crosses3,0
43,crosses3,0
44,crosses3,0
45,crosses3,0
46,crosses3,0
47,crosses3,0
48,crosses3,0.05
49,crosses3,0
50,crosses3,0
51,crosses3,0
52,crosses3,0
53,crosses3,0
54,crosses3,0.05
55,crosses3,0
56,crosses3,0
57,crosses3,0
58,crosses3,0
59,crosses3,0
60,crosses3,0
61,crosses3,0
62,crosses3,0.05
63,crosses3,0
64,crosses3,0
65,crosses3,0.05
66,crosses3,0
67,crosses3,0
68,crosses3,0
69,crosses3,0
70,crosses3,0
71,crosses3,0
72,crosses3,0
73,crosses3,0.05
74,crosses3,0
75,crosses3,0
76,crosses3,0
77,crosses3,0
78,crosses3,0
79,crosses3,0
80,crosses3,0.05
81,crosses3,0
82,crosses3,0
83,crosses3,0
84,crosses3,0
85,crosses3,0
86,crosses3,0
87,crosses3,0.05
88,crosses3,0
89,crosses3,0
90,crosses3,0
91,crosses3,0
92,crosses3,0
93,crosses3,0
94,crosses3,0.05
95,crosses3,0
96,crosses3,0
97,crosses3,0
98,crosses3,0
99,crosses3,0
100,crosses3,0
101,crosses3,0
102,crosses3,0.05
103,crosses3,0
104,crosses3,0
105,crosses3,0
106,crosses3,0
107,crosses3,0
108,crosses3,0
109,crosses3,0.05
110,crosses3,0
111,crosses3,0
112,crosses3,0
113,crosses3,0.05
114,crosses3,0
115,crosses3,0
116,crosses3,0
117,crosses3,0
118,crosses3,0.05
119,crosses3,0
120,crosses3,0
121,crosses3,0
122,crosses3,0
123,crosses3,0
124,crosses3,0
125,crosses3,0
126,crosses3,0.05
127,crosses3,0
128,crosses3,0
129,crosses3,0
130,crosses3,0
131,crosses3,0
132,crosses3,0
133,crosses3,0
134,crosses3,0
135,crosses3,0
136,crosses3,0
137,crosses3,0
138,crosses3,0
139,crosses3,0.05
140,crosses3,0
141,crosses3,0
142,crosses3,0
143,crosses3,0
144,crosses3,0
145,crosses3,0
146,crosses3,0.05
147,crosses3,0
148,crosses3,0
149,crosses3,0
150,crosses3,0
151,crosses3,0
152,crosses3,0
153,crosses3,0.05
154,crosses3,0
155,crosses3,0
156,crosses3,0
157,crosses3,0
158,crosses3,0
159,crosses3,0.05
160,crosses3,0
161,crosses3,0
162,crosses3,0
163,crosses3,0
164,crosses3,0
165,crosses3,0
166,crosses3,0
167,crosses3,0.05
