id,side,value
0,left,0.026814010999549855
0,right,0.38472113186992
1,left,0.01903595424845077
1,right,0.45585120094417164
2,left,0.01797598479371207
2,right,0.4498937090248378
3,left,0.033340219594201456
3,right,0.47668112469145
4,left,0.010396088248609802
4,right,0.4882659784725299
5,left,0.005613131153109963
5,right,0.4965974078487553
6,left,0.0006181773033619558
6,right,0.45827193491053775
7,left,0.0382103892772036
7,right,0.176476579547324
8,left,0.023822190491559817
8,right,0.12461665508566928
9,left,0.03510914276741015
9,right,0.12200537325235052
10,left,0.05693142678209015
10,right,0.10926102218474862
11,left,0.059101827527539536
11,right,0.08108877738185438
12,left,0.018321851404253544
12,right,0.07305994329837133
13,left,0.03620537679150888
13,right,0.06353512493686571
14,left,0.09486410864022186
14,right,0.07065727273018658
15,left,0.11682847013320621
15,right,0.051634784130783484
16,left,0.11629228839446834
16,right,0.05400915738332374
17,left,0.12492635622535575
17,right,0.10139072484393642
18,left,0.11192618083132133
18,right,0.06948234783871524
19,left,0.149627295390355
19,right,0.04698307435955345
20,left,0.14862991627778882
20,right,0.0488972420339883
21,left,0.14074800702884002
21,right,0.0622335555251062
22,left,0.14334649690955925
22,right,0.05589758971626693
23,left,0.10997633595815443
23,right,0.0395422837854063
24,left,0.09010403672512574
24,right,0.04353749389787195
25,left,0.10604555335191244
25,right,0.02030668548553664
26,left,0.06741897450777494
26,right,0.04117400887103002
27,left,0.040278283748941206
27,right,0.029492311335496
28,left,0.06796460723718943
28,right,0.032002845626069816
29,left,0.04500730411631995
29,right,0.024795891782915556
30,left,0.005441439961946647
30,right,0.04390183628902642
31,left,0.049763208810238074
31,right,0.05768246864702967
32,left,0.03485504638486853
32,right,0.009317383796684973
33,left,0.07030860451479276
33,right,0.0966385196117479
34,left,0.040915238130537865
34,right,0.21873455937228958
35,left,0.024820932585919893
35,right,0.30758176809698173
36,left,0.020955851371817293
36,right,0.32015567683429497
37,left,0.039448320868170295
37,right,0.33955912987379566
38,left,0.024390865638192257
38,right,0.3456143812846375
39,left,0.026466470104481197
39,right,0.30722431598648636
40,left,0.039589306243553286
40,right,0.25090334689034827
41,left,0.0474695849155554
41,right,0.09119278722780465
42,left,0.04287835260265348
42,right,0.03946972726957819
43,left,0.03181238224014424
43,right,0.09256844315510089
44,left,0.030608282680271864
44,right,0.04064682142076433
45,left,0.03962212349633672
45,right,0.01041957722373874
46,left,0.0461879507630635
46,right,0.010536440794139519
47,left,0.029760436344733528
47,right,0.012217910709990351
48,left,0.05228421438633574
48,right,0.01702445329083461
49,left,0.1184693034219681
49,right,0.03519397785838003
50,left,0.14859653818777888
50,right,0.04351464630596775
51,left,0.1561337960467187
51,right,0.03196010048752055
52,left,0.1677769218367674
52,right,0.027422187555871145
53,left,0.15675619233397745
53,right,0.029762607925132196
54,left,0.14009040398717285
54,right,0.03981997333648505
55,left,0.07970999667179948
55,right,0.03566785180054953
56,left,0.03907573560019477
56,right,0.015256417929090535
57,left,0.008921362459659875
57,right,0.011777874064618644
58,left,0.01397387173598895
58,right,0.010770269811529405
59,left,0.01636681060386674
59,right,0.029694372382308196
60,left,0.024109754793870092
60,right,0.014663583860704649
61,left,0.014830546824288736
61,right,0.010822508637824753
62,left,0.054093130690229245
62,right,0.07737520121293752
63,left,0.03261731544066539
63,right,0.1441471169878814
64,left,0.020415142842567277
64,right,0.18695293740413899
65,left,0.02777510974537949
65,right,0.20606901771074584
66,left,0.01895997406616656
66,right,0.19689444316113672
67,left,0.026589242799248052
67,right,0.1997218226248492
68,left,0.020921509534383948
68,right,0.19983610546877908
69,left,0.02913442076182985
69,right,0.14567809398254214
70,left,0.02363940071845854
70,right,0.06356970191930678
71,left,0.013281897191116263
71,right,0.015452180349510646
72,left,0.02840577624519438
72,right,0.06168454358724431
73,left,0.013854059082947973
73,right,0.06494946643655683
74,left,0.07725153282704515
74,right,0.019401344326853108
75,left,0.07427261890281402
75,right,0.017829095578529127
76,left,0.08014637084555117
76,right,0.02981901865456586
77,left,0.08033308095439042
77,right,0.025823362206264324
78,left,0.0699259724727188
78,right,0.027770045083655506
79,left,0.06297259382930143
79,right,0.025429197933628668
80,left,0.1521914753273922
80,right,0.02439845837143806
81,left,0.14731105623591534
81,right,0.02440822557163684
82,left,0.1294320799993864
82,right,0.024114101313856405
83,left,0.065386887614156
83,right,0.020958581591940795
84,left,0.04434652101197677
84,right,0.022732127892043544
85,left,0.05485636741310026
85,right,0.049432160440830895
86,left,0.09537004459382459
86,right,0.13712627508239245
87,left,0.07259333970329637
87,right,0.16488001977926828
88,left,0.04065016682458937
88,right,0.17183161681717077
89,left,0.04095017002146844
89,right,0.11959300576857919
90,left,0.036840901955802356
90,right,0.19229372062540748
91,left,0.03374442494131591
91,right,0.19040343142779195
92,left,0.03370349390895753
92,right,0.18305296891108863
93,left,0.030779196300455218
93,right,0.149971482923231
94,left,0.028226963100835264
94,right,0.12149153449074629
95,left,0.02140876451155472
95,right,0.04137138489268388
96,left,0.016498615942488314
96,right,0.03041912114380072
97,left,0.020834020000229332
97,right,0.028187614567377214
98,left,0.01863694376287678
98,right,0.03504943943078442
99,left,0.006266793892797953
99,right,0.045195923528282216
100,left,0.010653212958471226
100,right,0.05245118205716002
101,left,0.047378340380018424
101,right,0.029078854539082603
102,left,0.0575685187995377
102,right,0.042043267025956815
103,left,0.0899938357028644
103,right,0.024646853919588894
104,left,0.10910685983267292
104,right,0.027520984218327396
105,left,0.09790792275368347
105,right,0.033509611972229264
106,left,0.0687103868475298
106,right,0.0365817583775262
107,left,0.0064291764963304455
107,right,0.03967479830865041
108,left,0.04473983634508769
108,right,0.03707260375513047
109,left,0.024846070037860556
109,right,0.0453499678917643
110,left,0.02170947735732007
110,right,0.04086693160544692
111,left,0.02373271274477652
111,right,0.05133779247924719
112,left,0.02438129237691286
112,right,0.039967274915239215
113,left,0.026809446879100047
113,right,0.035785775497197546
114,left,0.02990857819237288
114,right,0.09044405350362576
115,left,0.029934837364645618
115,right,0.1721406818844783
116,left,0.02571489170247046
116,right,0.22133420835731837
117,left,0.023703062542413268
117,right,0.26525144369619064
118,left,0.02435677600744987
118,right,0.30866859423411186
119,left,0.024705388019429515
119,right,0.31065478168426336
120,left,0.0279703881449969
120,right,0.31064598825821627
121,left,0.027957115742357746
121,right,0.30254822021155175
122,left,0.027552557707026356
122,right,0.2964927984180222
123,left,0.026771712504706325
123,right,0.2807218783775623
124,left,0.02890739976067951
124,right,0.23862565624323867
125,left,0.0283719576766036
125,right,0.16533386147029538
126,left,0.0283719576766036
126,right,0.16533386147029538
127,left,0.02958374049341535
127,right,0.13614732259281148
128,left,0.03924994804896738
128,right,0.11905586877148264
129,left,0.017794562902903585
129,right,0.048352292585551834
130,left,0.01638510844887
130,right,0.012618862653206065
131,left,0.006328120820022412
131,right,0.019019567356726667
132,left,0.009262888923304896
132,right,0.024299279284045554
133,left,0.012195741683289216
133,right,0.0243336946510122
134,left,0.003452053779373405
134,right,0.024973112540569945
135,left,0.03715686974316933
135,right,0.02910087181039397
136,left,0.06630465760136685
136,right,0.032264249456410266
137,left,0.10399748919765424
137,right,0.034574278743358645
138,left,0.12070410937586082
138,right,0.03613558967132003
139,left,0.17694062582921433
139,right,0.03945244958066501
140,left,0.186788559230405
140,right,0.041145367027319614
141,left,0.21789490025786276
141,right,0.046126426610298844
142,left,0.21789490025786276
142,right,0.046126426610298844
143,left,0.20165221810030318
143,right,0.047618598642051715
144,left,0.28720587866258734
144,right,0.04620876977920448
145,left,0.316367813697071
145,right,0.04905192936611044
146,left,0.3692248325770078
146,right,0.04776851988519441
147,left,0.34250928297623523
147,right,0.05393492707446534
148,left,0.3333499670000323
148,right,0.05963139973660818
149,left,0.3333499670000323
149,right,0.05963139973660818
150,left,0.2134367389849355
150,right,0.05647509158398439
151,left,0.17492619654213126
151,right,0.055421204451829506
152,left,0.13732160630094253
152,right,0.045947043498569165
153,left,0.08599664419597647
153,right,0.0414622888340136
154,left,0.08449465682561416
154,right,0.033686830017140054
155,left,0.07937979667289544
155,right,0.029583899764323945
156,left,0.059444063215173364
156,right,0.03855098140692966
157,left,0.068844148617617
157,right,0.040918096750255165
158,left,0.048915907078832505
158,right,0.04713929028363894
159,left,0.01670347505728545
159,right,0.02986614188229997
160,left,0.031072068364113217
160,right,0.016226036623870475
161,left,0.038793328724527766
161,right,0.010261798095439699
162,left,0.04005485519202636
162,right,0.03088832864182363
163,left,0.04005485519202636
163,right,0.03088832864182363
164,left,0.06475543681198692
164,right,0.11161464891748889
165,left,0.04860425705696436
165,right,0.2186011599279005
166,left,0.05352499674135183
166,right,0.30108709341049905
167,left,0.04092604793455598
167,right,0.370836431976301
168,left,0.038335849445298505
168,right,0.43627192363643913
169,left,0.037463547526741484
169,right,0.45673698512676414
170,left,0.043932757027179005
170,right,0.4763517682147696
171,left,0.04361501866548022
171,right,0.49307000954466945
172,left,0.03926907369207611
172,right,0.4985998800322798
173,left,0.039598411698866486
173,right,0.5025281463969397
174,left,0.03969056812441345
174,right,0.49109279195133226
175,left,0.037805796994333424
175,right,0.4665831532451432
176,left,0.03766883751564851
176,right,0.4365405968949283
177,left,0.03782639448864759
177,right,0.4099005593203322
178,left,0.03397784310856288
178,right,0.34203466107641967
179,left,0.03600196845725813
179,right,0.29278683832138125
180,left,0.03635489697312086
180,right,0.22199449043134153
181,left,0.03529355189201394
181,right,0.20719980761215798
182,left,0.03246423244913401
182,right,0.12484006294927563
183,left,0.029954103804567245
183,right,0.0565720896037695
184,left,0.03477996941742511
184,right,0.0162575991040858
185,left,0.021388038146576728
185,right,0.011845845800926406
186,left,0.011297523247946542
186,right,0.024260497806404126
187,left,0.010912610286532712
187,right,0.023198728248899722
188,left,0.010912610286532712
188,right,0.023198728248899722
189,left,0.004374611425962943
189,right,0.048292947073073744
190,left,0.016724305202718417
190,right,0.050485652947269824
191,left,0.06407704788528341
191,right,0.058422348167870855
192,left,0.0814603269238959
192,right,0.05531691951472019
193,left,0.08769546484650936
193,right,0.06249445945491307
194,left,0.11504936224989568
194,right,0.05533234404097244
195,left,0.14236284629329907
195,right,0.04741425928785702
196,left,0.14124632406379176
196,right,0.0458813906796284
197,left,0.13798995271763512
197,right,0.0457633360232857
198,left,0.19802473103771742
198,right,0.04447538828710709
199,left,0.21258764647045855
199,right,0.04611845674659471
200,left,0.3221072320165269
200,right,0.046187824322467354
201,left,0.3009711002924792
201,right,0.051125427392710136
202,left,0.36882557479796174
202,right,0.052078373659096754
203,left,0.3734195887170044
203,right,0.05680547332561494
204,left,0.3375381729905781
204,right,0.055044994068162066
205,left,0.2739234740949157
205,right,0.05436664257066397
206,left,0.2490661093454298
206,right,0.05478976901684533
207,left,0.16430125836251966
207,right,0.048664546244531204
208,left,0.12781005441477325
208,right,0.0396008662315162
209,left,0.1033638793413626
209,right,0.03467997967885809
210,left,0.06682922147284247
210,right,0.03181682306249879
211,left,0.1005651730258815
211,right,0.05619179774797539
212,left,0.03730452752284123
212,right,0.03960402473019719
213,left,0.021554683740427048
213,right,0.0344939315896134
214,left,0.021200732354567736
214,right,0.025635150511460873
215,left,0.019456900620753243
215,right,0.03440988773754209
216,left,0.04669587473797507
216,right,0.03137488219561119
217,left,0.055523139938999405
217,right,0.007096517153389196
218,left,0.06608788174624325
218,right,0.10200649359297105
219,left,0.04510868508685367
219,right,0.21330079736827773
220,left,0.03758704133179916
220,right,0.1832865957699043
221,left,0.04260744452353624
221,right,0.2588861630796537
222,left,0.04467144614883634
222,right,0.26044263912020177
223,left,0.03531578882722969
223,right,0.23542334805093681
224,left,0.03939390288852714
224,right,0.20178387533777134
225,left,0.03796289153641623
225,right,0.20454743853287477
226,left,0.036563212225748945
226,right,0.17579226906859619
227,left,0.03810262263140849
227,right,0.10758305686939458
228,left,0.04450570813167798
228,right,0.011709866433722311
229,left,0.029889323040417488
229,right,0.0476544253958829
230,left,0.0068123137196482355
230,right,0.028868482427967662
231,left,0.06188094218396414
231,right,0.030490990763046084
232,left,0.0730141307638901
232,right,0.03093355742282587
233,left,0.06467388695036046
233,right,0.03378656413633959
234,left,0.09457640496699937
234,right,0.02834175352899761
235,left,0.08903200786089997
235,right,0.029613883345008633
236,left,0.03664506013802718
236,right,0.02048526505887873
237,left,0.008921867313338442
237,right,0.016650528273665154
238,left,0.03946139503218828
238,right,0.015310685175395638
239,left,0.010296363892244347
239,right,0.06451143398957628
240,left,0.02329000596900787
240,right,0.028007012508757093
241,left,0.030301674263628703
241,right,0.10209175711804111
242,left,0.03634671327780211
242,right,0.12345995911300435
243,left,0.037323186054581854
243,right,0.11024920981728674
244,left,0.06901132544843816
244,right,0.06824312912807083
245,left,0.06562202229879226
245,right,0.01051232114182294
246,left,0.013992967605061654
246,right,0.01996693938244412
247,left,0.08590809333028779
247,right,0.010491497611487542
248,left,0.10823094800782092
248,right,0.016681879736507175
249,left,0.09866542606978365
249,right,0.02786843409801928
250,left,0.1032300818975892
250,right,0.02633287559201574
251,left,0.10149943453046853
251,right,0.018890233101711233
252,left,0.008205552577721598
252,right,0.019723882741283706
253,left,0.04061277790109124
253,right,0.01747299256044981
254,left,0.039528582100651195
254,right,0.03946258643057986
255,left,0.051053558739829766
255,right,0.07007694067476397
256,left,0.03540223704747043
256,right,0.11742802313975571
257,left,0.03540223704747043
257,right,0.11742802313975571
258,left,0.0322625145489533
258,right,0.1188949079636092
259,left,0.03200958841230538
259,right,0.12248462953407743
260,left,0.017110952888795494
260,right,0.0542746028734021
261,left,0.03832508804952879
261,right,0.022188042005037968
262,left,0.06740401099250234
262,right,0.02427588074069479
263,left,0.06485361199442588
263,right,0.023370315913800777
264,left,0.04324562056167915
264,right,0.02520623399390071
265,left,0.04067249354206821
265,right,0.022637864390538803
266,left,0.055146589449042806
266,right,0.022274333508296693
267,left,0.04822565356612779
267,right,0.04987513434424066
268,left,0.016777423874363886
268,right,0.14220457705815895
269,left,0.03258258561081922
269,right,0.17535800558474837
270,left,0.027689871503736883
270,right,0.17434142190342028
271,left,0.022184512714176246
271,right,0.1697684319988572
272,left,0.02629658812987606
272,right,0.12369404144838264
273,left,0.014852491270836592
273,right,0.04647176978790349
274,left,0.06247989832402579
274,right,0.13328465038913279
275,left,0.06893701544511718
275,right,0.0740627687952656
276,left,0.09650701529121695
276,right,0.014592274555349624
277,left,0.11054667375576811
277,right,0.02644510001692889
278,left,0.10387267061203533
278,right,0.019255850330867668
279,left,0.08904471686746178
279,right,0.019969378865186377
280,left,0.09805684565131059
280,right,0.03590461407810129
281,left,0.10432402585180679
281,right,0.03324406025671553
282,left,0.08516586869565923
282,right,0.014190250031974846
283,left,0.05630045225056059
283,right,0.06282532737952654
284,left,0.02266699196136627
284,right,0.18723823788062688
285,left,0.02626591566206684
285,right,0.21861041102607565
286,left,0.026415915133401264
286,right,0.19898909326740818
287,left,0.02636607051025084
287,right,0.17896902534792
288,left,0.025144020875515344
288,right,0.20002553209659898
289,left,0.02151614045285855
289,right,0.06765442502549171
290,left,0.035422310076634635
290,right,0.0201730528723158
291,left,0.05157996648867184
291,right,0.05442582008345148
292,left,0.04885261795791568
292,right,0.036304341404752055
293,left,0.06195872236739636
293,right,0.02727593679989363
294,left,0.048755646956838546
294,right,0.01896657269830065
295,left,0.036806179891015145
295,right,0.018520526586745353
296,left,0.024601066728163812
296,right,0.02578852441185807
297,left,0.02006378448902114
297,right,0.0031468817876294216
298,left,0.048273023707284084
298,right,0.06000336507198488
299,left,0.04186348521310787
299,right,0.14592403009532762
300,left,0.03838676026034229
300,right,0.16400406716304786
301,left,0.0297843515560894
301,right,0.164067116035926
302,left,0.0196664867576202
302,right,0.10239596050980372
303,left,0.025893076807719753
303,right,0.04324333552703514
304,left,0.008456245740907914
304,right,0.022788057568511644
305,left,0.03456917369275387
305,right,0.012286131206606335
306,left,0.03456917369275387
306,right,0.012286131206606335
307,left,0.06370529018950256
307,right,0.025055004381721483
308,left,0.07012702271916198
308,right,0.023266809227387546
309,left,0.120654545995125
309,right,0.01850800576576432
310,left,0.07066370572637087
310,right,0.07373346534117099
311,left,0.032296555434204094
311,right,0.11937831692383817
312,left,0.011000724879114293
312,right,0.0370511540201709
313,left,0.016575787924878526
313,right,0.11433193148089478
314,left,0.030949071193853615
314,right,0.18132880285397576
315,left,0.02747413916325157
315,right,0.18943891660718568
316,left,0.022257057285309523
316,right,0.13790763211279514
317,left,0.02271391470266198
317,right,0.11416080185486373
318,left,0.021240580672429395
318,right,0.012889028687403027
319,left,0.05257025735601479
319,right,0.01307470820626179
320,left,0.04061982208083548
320,right,0.03455794423902546
321,left,0.06486542643004352
321,right,0.037887048936640674
322,left,0.05240064781136204
322,right,0.023719630329238812
323,left,0.06438482179721766
323,right,0.023267687969476935
324,left,0.03911208239838113
324,right,0.019481827277633007
325,left,0.03644790391985701
325,right,0.02357375990696736
326,left,0.04767779281402769
326,right,0.03165796603188199
327,left,0.02729175086423884
327,right,0.03514501354634859
328,left,0.024828553054030873
